"BehaviorSpace results (NetLogo 6.0.4)"
"Business-investor.nlogo"
"network-size-effect"
"03/25/2019 11:49:23:995 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","number-of-links","n_turtles","sensing-radius","[step]","mean [W] of turtles"
"527","4","10","8","24","212578.3"
"526","4","10","8","24","168670.6"
"528","4","10","8","24","214858.9"
"529","4","10","8","24","231015"
"530","4","10","8","24","179750.7"
"531","4","10","9","24","239711.1"
"532","4","10","9","24","211537.5"
"534","4","10","9","24","123275.7"
"533","4","10","9","24","202984.2"
"535","4","10","9","24","208989.9"
"537","4","10","9","24","174499.5"
"536","4","10","9","24","202296.1"
"538","4","10","9","24","241193.5"
"540","4","10","9","24","187047.5"
"541","4","10","10","24","218740.5"
"539","4","10","9","24","183097.3"
"544","4","10","10","24","229056.7"
"543","4","10","10","24","191003.5"
"542","4","10","10","24","198849.5"
"545","4","10","10","24","187540.2"
"547","4","10","10","24","223917.9"
"546","4","10","10","24","217364"
"551","5","10","0","24","126895.4"
"552","5","10","0","24","89936.3"
"553","5","10","0","24","179908.8"
"554","5","10","0","24","156588.8"
"555","5","10","0","24","194590.1"
"556","5","10","0","24","94985.7"
"548","4","10","10","24","177053.9"
"557","5","10","0","24","181919.4"
"558","5","10","0","24","196518.5"
"559","5","10","0","24","122505.5"
"549","4","10","10","24","175882.5"
"561","5","10","1","24","159300.9"
"560","5","10","0","24","139969.1"
"562","5","10","1","24","153632.8"
"550","4","10","10","24","187965.4"
"563","5","10","1","24","155681.3"
"564","5","10","1","24","143939.8"
"565","5","10","1","24","176952.7"
"566","5","10","1","24","126945"
"569","5","10","1","24","152810.1"
"567","5","10","1","24","211393.8"
"570","5","10","1","24","140290.7"
"568","5","10","1","24","156830.7"
"571","5","10","2","24","148262.9"
"572","5","10","2","24","163618.7"
"573","5","10","2","24","156671.8"
"576","5","10","2","24","215307.7"
"577","5","10","2","24","194050.5"
"574","5","10","2","24","159839"
"575","5","10","2","24","200186.1"
"578","5","10","2","24","198995.5"
"581","5","10","3","24","193034.6"
"580","5","10","2","24","178400.4"
"579","5","10","2","24","210875.4"
"582","5","10","3","24","222666.7"
"583","5","10","3","24","175360.4"
"585","5","10","3","24","169988.7"
"586","5","10","3","24","201303"
"584","5","10","3","24","203431.8"
"587","5","10","3","24","225118.9"
"588","5","10","3","24","146492.1"
"589","5","10","3","24","211558.9"
"591","5","10","4","24","220023.5"
"590","5","10","3","24","174878.5"
"593","5","10","4","24","132707.7"
"592","5","10","4","24","184703.7"
"594","5","10","4","24","158502.5"
"596","5","10","4","24","192922"
"597","5","10","4","24","190248.8"
"595","5","10","4","24","148533.9"
"598","5","10","4","24","212277.5"
"599","5","10","4","24","170438.5"
"600","5","10","4","24","197362.3"
"601","5","10","5","24","206878.8"
"603","5","10","5","24","187950.7"
"602","5","10","5","24","209821.1"
"606","5","10","5","24","165227.5"
"607","5","10","5","24","219194.5"
"605","5","10","5","24","177975.9"
"604","5","10","5","24","182111.9"
"608","5","10","5","24","197617.5"
"609","5","10","5","24","171556.4"
"613","5","10","6","24","214925.8"
"610","5","10","5","24","176998.1"
"612","5","10","6","24","206787.5"
"611","5","10","6","24","229912.4"
"616","5","10","6","24","157533.9"
"614","5","10","6","24","221024.9"
"615","5","10","6","24","207668.6"
"618","5","10","6","24","192042"
"617","5","10","6","24","199133.2"
"621","5","10","7","24","211035.2"
"619","5","10","6","24","199885.5"
"620","5","10","6","24","219068.3"
"622","5","10","7","24","172732.4"
"623","5","10","7","24","193051.9"
"627","5","10","7","24","237546.6"
"625","5","10","7","24","182847"
"624","5","10","7","24","190913.7"
"626","5","10","7","24","186453.1"
"630","5","10","7","24","176258.2"
"628","5","10","7","24","232025.7"
"629","5","10","7","24","208104.9"
"631","5","10","8","24","212491.9"
"633","5","10","8","24","205084.9"
"632","5","10","8","24","229078.1"
"634","5","10","8","24","182094.3"
"636","5","10","8","24","201423.6"
"635","5","10","8","24","186666.8"
"638","5","10","8","24","186235.7"
"639","5","10","8","24","234256.3"
"637","5","10","8","24","188088.8"
"640","5","10","8","24","229618.4"
"641","5","10","9","24","197125.9"
"642","5","10","9","24","178271.7"
"644","5","10","9","24","171403.1"
"643","5","10","9","24","167577"
"645","5","10","9","24","189027.9"
"646","5","10","9","24","179017.8"
"647","5","10","9","24","186822.6"
"650","5","10","9","24","193508.1"
"648","5","10","9","24","144212"
"651","5","10","10","24","178880.9"
"649","5","10","9","24","217395.2"
"653","5","10","10","24","196329.4"
"652","5","10","10","24","185791.4"
"654","5","10","10","24","226504.7"
"655","5","10","10","24","238349.3"
"656","5","10","10","24","199462.3"
"657","5","10","10","24","187381.9"
"661","6","10","0","24","199214.4"
"662","6","10","0","24","126996.4"
"663","6","10","0","24","167876.9"
"658","5","10","10","24","211563.7"
"664","6","10","0","24","205112.9"
"659","5","10","10","24","171693.5"
"665","6","10","0","24","159925.2"
"667","6","10","0","24","163176.4"
"666","6","10","0","24","164411.6"
"668","6","10","0","24","202219.5"
"669","6","10","0","24","156641.3"
"670","6","10","0","24","138923.8"
"673","6","10","1","24","137778.4"
"671","6","10","1","24","164572"
"672","6","10","1","24","179553.2"
"660","5","10","10","24","193899.6"
"674","6","10","1","24","140774.1"
"676","6","10","1","24","164894"
"677","6","10","1","24","194903.2"
"675","6","10","1","24","137665.6"
"678","6","10","1","24","164745.8"
"680","6","10","1","24","128574.7"
"681","6","10","2","24","147457.8"
"679","6","10","1","24","132370.8"
"682","6","10","2","24","213826.1"
"685","6","10","2","24","163501.9"
"683","6","10","2","24","179835.3"
"686","6","10","2","24","202681.3"
"684","6","10","2","24","134355.5"
"688","6","10","2","24","198689"
"687","6","10","2","24","179060.1"
"690","6","10","2","24","175716.2"
"691","6","10","3","24","222788.2"
"689","6","10","2","24","173957.8"
"694","6","10","3","24","217133.7"
"692","6","10","3","24","194402.5"
"693","6","10","3","24","196921"
"696","6","10","3","24","226694.9"
"695","6","10","3","24","184308.5"
"699","6","10","3","24","178516.4"
"697","6","10","3","24","193447.3"
"698","6","10","3","24","175792.9"
"700","6","10","3","24","164805.9"
"701","6","10","4","24","182964.7"
"702","6","10","4","24","210375.4"
"705","6","10","4","24","195276.6"
"703","6","10","4","24","175237.5"
"706","6","10","4","24","177740.8"
"704","6","10","4","24","226792.8"
"707","6","10","4","24","154840.3"
"708","6","10","4","24","208083.7"
"710","6","10","4","24","203677"
"709","6","10","4","24","206116.2"
"711","6","10","5","24","170943.2"
"713","6","10","5","24","238012.7"
"714","6","10","5","24","212336.3"
"715","6","10","5","24","234606.4"
"712","6","10","5","24","159332.8"
"716","6","10","5","24","167749.1"
"717","6","10","5","24","195753.2"
"719","6","10","5","24","227192.7"
"718","6","10","5","24","209417.7"
"720","6","10","5","24","181872.1"
"721","6","10","6","24","214461"
"722","6","10","6","24","192828.5"
"724","6","10","6","24","223155.9"
"726","6","10","6","24","189761"
"723","6","10","6","24","194371.3"
"725","6","10","6","24","217610.9"
"727","6","10","6","24","169378.3"
"728","6","10","6","24","193436.8"
"731","6","10","7","24","195518.2"
"729","6","10","6","24","190010.2"
"730","6","10","6","24","198703.8"
"732","6","10","7","24","191335.9"
"733","6","10","7","24","191540"
"735","6","10","7","24","190617.6"
"736","6","10","7","24","212406.2"
"734","6","10","7","24","193097.5"
"737","6","10","7","24","153125.3"
"738","6","10","7","24","167356.2"
"740","6","10","7","24","223529.1"
"739","6","10","7","24","216707.7"
"741","6","10","8","24","196640.1"
"744","6","10","8","24","240228.1"
"743","6","10","8","24","176585.9"
"742","6","10","8","24","225681.6"
"745","6","10","8","24","178131.8"
"747","6","10","8","24","189930.1"
"748","6","10","8","24","204458.9"
"746","6","10","8","24","220662.9"
"749","6","10","8","24","204969"
"750","6","10","8","24","171833.1"
"751","6","10","9","24","191868.8"
"753","6","10","9","24","137427.9"
"754","6","10","9","24","221363.9"
"752","6","10","9","24","217901.1"
"755","6","10","9","24","188549.4"
"756","6","10","9","24","218253.4"
"757","6","10","9","24","219725.5"
"758","6","10","9","24","169043.3"
"760","6","10","9","24","183305.4"
"759","6","10","9","24","235844.1"
"761","6","10","10","24","214757.6"
"763","6","10","10","24","241222.1"
"764","6","10","10","24","187424.3"
"762","6","10","10","24","219200.9"
"765","6","10","10","24","236439.5"
"766","6","10","10","24","207518.8"
"768","6","10","10","24","224705.7"
"767","6","10","10","24","217116.5"
"771","7","10","0","24","125008.8"
"772","7","10","0","24","175921.2"
"774","7","10","0","24","189962.7"
"775","7","10","0","24","136751.9"
"773","7","10","0","24","171848.4"
"770","6","10","10","24","226652.2"
"778","7","10","0","24","143971.3"
"776","7","10","0","24","187603.6"
"777","7","10","0","24","181040"
"779","7","10","0","24","172917.3"
"769","6","10","10","24","193190.7"
"780","7","10","0","24","187912.9"
"782","7","10","1","24","171027.9"
"781","7","10","1","24","157809.1"
"785","7","10","1","24","162679.7"
"784","7","10","1","24","132426.8"
"783","7","10","1","24","169733.2"
"788","7","10","1","24","146177.4"
"787","7","10","1","24","135688.4"
"786","7","10","1","24","132974.9"
"790","7","10","1","24","160236.3"
"789","7","10","1","24","136095.6"
"793","7","10","2","24","151666.7"
"792","7","10","2","24","200542.4"
"791","7","10","2","24","139386.1"
"795","7","10","2","24","168510"
"796","7","10","2","24","98750.5"
"794","7","10","2","24","172133.9"
"798","7","10","2","24","153208.2"
"797","7","10","2","24","164980.4"
"799","7","10","2","24","192374.5"
"802","7","10","3","24","181681"
"801","7","10","3","24","209979.8"
"800","7","10","2","24","179452"
"803","7","10","3","24","208089.8"
"804","7","10","3","24","157415.8"
"806","7","10","3","24","187767.2"
"807","7","10","3","24","239600.6"
"805","7","10","3","24","202561.2"
